iter	Passed	Remaining
0	156	156127
1	163	81586
2	169	56189
3	175	43581
4	180	35828
5	185	30717
6	190	27029
7	197	24446
8	202	22249
9	206	20487
10	213	19153
11	218	18008
12	223	17004
13	231	16301
14	238	15638
15	242	14885
16	245	14217
17	248	13578
18	251	12992
19	253	12426
20	255	11915
21	257	11462
22	259	11023
23	261	10614
24	262	10253
25	265	9945
26	267	9625
27	268	9326
28	270	9042
29	271	8792
30	273	8562
31	275	8326
32	276	8110
33	278	7912
34	280	7720
35	281	7546
36	283	7371
37	285	7219
38	286	7068
39	288	6921
40	289	6774
41	292	6679
42	294	6563
43	296	6436
44	298	6324
45	299	6221
46	301	6114
47	302	6006
48	304	5904
49	306	5824
50	308	5740
51	310	5655
52	311	5569
53	313	5496
54	315	5415
55	316	5334
56	317	5254
57	319	5194
58	321	5123
59	322	5051
60	323	4981
61	324	4910
62	326	4848
63	327	4794
64	329	4733
65	330	4674
66	331	4615
67	333	4568
68	334	4517
69	336	4465
70	337	4415
71	338	4365
72	341	4337
73	343	4295
74	344	4252
75	345	4206
76	347	4162
77	348	4118
78	349	4078
79	351	4037
80	352	3995
81	353	3958
82	354	3914
83	355	3880
84	357	3845
85	358	3810
86	359	3775
87	361	3741
88	362	3711
89	364	3682
90	365	3651
91	366	3620
92	368	3589
93	369	3560
94	371	3539
95	372	3511
96	373	3481
97	375	3453
98	377	3432
99	379	3413
100	380	3385
101	381	3357
102	382	3330
103	383	3303
104	385	3285
105	386	3263
106	388	3239
107	389	3216
108	390	3193
109	393	3180
110	394	3157
111	395	3135
112	396	3113
113	397	3091
114	399	3072
115	400	3055
116	402	3034
117	403	3013
118	404	2993
119	405	2972
120	407	2961
121	408	2942
122	410	2924
123	411	2905
124	412	2887
125	415	2879
126	416	2860
127	417	2842
128	418	2825
129	419	2810
130	421	2794
131	422	2780
132	424	2764
133	425	2748
134	426	2734
135	427	2718
136	429	2706
137	430	2692
138	432	2677
139	433	2662
140	434	2647
141	435	2630
142	436	2617
143	438	2603
144	439	2590
145	440	2575
146	441	2561
147	442	2547
148	443	2535
149	445	2524
150	446	2511
151	447	2498
152	448	2485
153	450	2472
154	451	2461
155	452	2449
156	454	2437
157	455	2425
158	456	2414
159	457	2402
160	458	2391
161	460	2381
162	461	2371
163	462	2360
164	464	2348
165	465	2338
166	466	2329
167	468	2318
168	469	2308
169	470	2297
170	471	2287
171	473	2278
172	474	2269
173	476	2259
174	477	2249
175	478	2239
176	479	2228
177	480	2218
178	482	2215
179	484	2205
180	485	2196
181	486	2186
182	488	2180
183	490	2173
184	491	2163
185	492	2154
186	493	2145
187	494	2135
188	497	2135
189	498	2126
190	499	2117
191	501	2108
192	502	2101
193	504	2094
194	505	2086
195	506	2077
196	507	2069
197	508	2061
198	510	2054
199	511	2047
200	512	2039
201	514	2030
202	515	2022
203	516	2014
204	517	2007
205	519	2003
206	520	1995
207	522	1988
208	523	1980
209	524	1972
210	525	1965
211	526	1958
212	527	1950
213	529	1943
214	530	1935
215	531	1930
216	533	1925
217	534	1917
218	535	1910
219	536	1903
220	537	1896
221	539	1890
222	540	1884
223	541	1877
224	543	1870
225	544	1863
226	545	1856
227	546	1851
228	548	1846
229	549	1839
230	550	1832
231	551	1825
232	552	1818
233	553	1812
234	555	1807
235	556	1800
236	557	1794
237	558	1787
238	559	1780
239	560	1773
240	563	1773
241	564	1768
242	565	1762
243	566	1756
244	568	1750
245	569	1746
246	571	1741
247	572	1735
248	573	1729
249	574	1723
250	575	1718
251	577	1714
252	578	1709
253	580	1703
254	581	1698
255	582	1692
256	583	1688
257	585	1684
258	586	1679
259	588	1673
260	589	1668
261	590	1663
262	592	1659
263	593	1654
264	594	1649
265	596	1644
266	597	1639
267	598	1635
268	600	1631
269	601	1626
270	602	1621
271	604	1616
272	606	1614
273	608	1611
274	609	1606
275	610	1601
276	611	1596
277	613	1592
278	615	1589
279	616	1585
280	617	1580
281	618	1575
282	619	1570
283	621	1566
284	622	1562
285	624	1557
286	625	1553
287	626	1548
288	627	1543
289	629	1540
290	630	1535
291	631	1531
292	632	1527
293	634	1522
294	635	1518
295	637	1515
296	638	1511
297	639	1506
298	641	1503
299	642	1498
300	644	1496
301	645	1491
302	646	1487
303	648	1483
304	649	1479
305	650	1475
306	652	1471
307	653	1467
308	654	1463
309	655	1459
310	657	1456
311	659	1453
312	660	1449
313	661	1445
314	662	1441
315	664	1437
316	665	1434
317	667	1431
318	668	1427
319	669	1423
320	670	1419
321	672	1415
322	673	1412
323	675	1408
324	676	1404
325	677	1400
326	678	1396
327	680	1393
328	681	1390
329	682	1386
330	684	1382
331	685	1378
332	686	1375
333	688	1372
334	689	1368
335	690	1365
336	692	1361
337	693	1357
338	694	1354
339	695	1350
340	697	1347
341	698	1344
342	699	1340
343	700	1336
344	702	1334
345	703	1330
346	705	1326
347	706	1323
348	707	1319
349	708	1316
350	710	1313
351	711	1310
352	713	1307
353	714	1303
354	716	1300
355	717	1298
356	718	1294
357	720	1291
358	721	1288
359	722	1284
360	724	1282
361	725	1278
362	726	1275
363	728	1272
364	729	1269
365	730	1265
366	733	1265
367	735	1262
368	736	1259
369	737	1255
370	738	1252
371	740	1250
372	741	1246
373	743	1243
374	744	1240
375	745	1237
376	746	1234
377	748	1231
378	749	1228
379	750	1224
380	751	1221
381	753	1218
382	754	1215
383	755	1212
384	756	1209
385	758	1206
386	759	1202
387	760	1199
388	762	1196
389	763	1193
390	764	1190
391	765	1187
392	766	1184
393	768	1181
394	769	1178
395	770	1175
396	771	1172
397	772	1169
398	774	1166
399	775	1163
400	776	1160
401	777	1157
402	779	1154
403	780	1151
404	781	1148
405	783	1145
406	784	1142
407	785	1139
408	786	1136
409	787	1133
410	788	1130
411	790	1127
412	791	1125
413	792	1122
414	793	1119
415	794	1116
416	796	1113
417	798	1111
418	799	1108
419	800	1105
420	801	1102
421	802	1099
422	804	1097
423	805	1094
424	807	1091
425	808	1089
426	809	1086
427	810	1083
428	811	1080
429	813	1078
430	815	1076
431	816	1073
432	818	1071
433	819	1069
434	821	1066
435	822	1064
436	823	1061
437	825	1058
438	826	1056
439	828	1053
440	829	1051
441	830	1048
442	831	1045
443	832	1042
444	834	1041
445	836	1038
446	837	1035
447	838	1033
448	839	1030
449	841	1028
450	842	1025
451	843	1023
452	845	1020
453	846	1018
454	847	1015
455	850	1014
456	851	1011
457	852	1008
458	853	1006
459	855	1003
460	856	1001
461	857	998
462	859	996
463	860	993
464	861	991
465	862	988
466	864	986
467	865	984
468	866	981
469	868	978
470	870	977
471	871	974
472	872	972
473	874	969
474	875	967
475	876	964
476	877	962
477	879	960
478	880	957
479	881	955
480	883	952
481	884	950
482	886	948
483	887	946
484	888	943
485	890	941
486	891	938
487	892	936
488	894	934
489	895	931
490	896	929
491	897	926
492	898	924
493	900	921
494	901	919
495	902	917
496	903	914
497	905	912
498	906	909
499	907	907
500	908	905
501	910	902
502	911	900
503	912	898
504	913	895
505	915	893
506	916	891
507	917	888
508	918	886
509	920	884
510	921	881
511	922	879
512	924	877
513	925	874
514	926	872
515	927	870
516	928	867
517	930	865
518	932	863
519	933	861
520	934	859
521	935	856
522	937	854
523	938	852
524	939	850
525	940	847
526	942	845
527	943	843
528	945	841
529	946	839
530	947	836
531	948	834
532	950	832
533	951	830
534	952	828
535	954	826
536	955	823
537	956	821
538	958	819
539	959	817
540	960	815
541	961	812
542	963	810
543	964	808
544	965	806
545	967	804
546	968	801
547	969	799
548	970	797
549	971	795
550	973	793
551	974	790
552	975	788
553	977	786
554	978	784
555	979	782
556	980	779
557	982	778
558	984	776
559	985	774
560	986	771
561	987	769
562	988	767
563	989	764
564	990	762
565	992	760
566	993	758
567	994	756
568	995	754
569	996	752
570	998	750
571	999	747
572	1000	745
573	1001	743
574	1003	741
575	1004	739
576	1005	737
577	1006	735
578	1008	733
579	1009	730
580	1010	728
581	1012	727
582	1013	725
583	1015	723
584	1016	721
585	1017	719
586	1018	716
587	1020	715
588	1021	712
589	1022	710
590	1023	708
591	1025	706
592	1026	704
593	1027	702
594	1028	700
595	1030	698
596	1031	696
597	1032	694
598	1034	692
599	1036	690
600	1037	688
601	1038	686
602	1039	684
603	1040	682
604	1042	680
605	1043	678
606	1044	676
607	1046	674
608	1047	672
609	1048	670
610	1049	668
611	1050	666
612	1052	664
613	1053	662
614	1054	660
615	1055	658
616	1057	656
617	1058	654
618	1059	652
619	1060	650
620	1062	648
621	1063	646
622	1065	644
623	1066	642
624	1067	640
625	1068	638
626	1069	636
627	1071	634
628	1072	632
629	1074	630
630	1075	628
631	1076	626
632	1077	624
633	1079	622
634	1080	621
635	1082	619
636	1083	617
637	1085	615
638	1086	613
639	1087	611
640	1088	609
641	1089	607
642	1091	605
643	1092	604
644	1094	602
645	1095	600
646	1096	598
647	1098	596
648	1100	594
649	1101	593
650	1102	591
651	1104	589
652	1105	587
653	1106	585
654	1108	583
655	1110	582
656	1111	580
657	1112	578
658	1114	576
659	1115	574
660	1117	572
661	1118	570
662	1120	569
663	1122	567
664	1123	566
665	1125	564
